kind,address,name,confidence,evidence,notes
global,0x801798A8,gDuel_awRankScoreChange,confirmed,"ram_map.txt; gms.c rankScoreDiffs","Score-change thresholds used to calculate duel rank."
global,0x80179A14,gDuel_wCardDropID,confirmed,ram_map.txt,"Selected card drop ID."
global,0x8017C2D8,gDuel_aFusionTable,confirmed,"ram_map.txt; gms.c fusionTable","Fusion lookup table; element encoding remains under study."
global,0x80184594,gMain_bMenuID,confirmed,ram_map.txt,"Current menu ID."
global,0x801A7E20,gDuel_aPlayerHand,confirmed,ram_map.txt,"Player hand records; complete record layout remains under study."
global,0x801A8008,gLibrary_aPasswordCardData,confirmed,ram_map.txt,"Password-screen card cost and password records."
global,0x801D0200,gDuel_awPlayerDeck,confirmed,"ram_map.txt; gms.c playerDeck","Current 40-card player deck."
global,0x801D0250,gLibrary_abCardChest,confirmed,"ram_map.txt; gms.c trunk","Per-card chest/trunk quantities."
global,0x801D06F4,gFreeDuel_dwUnlockedDuelists,confirmed,ram_map.txt,"Free Duel unlocked-duelist bitset."
global,0x801D07BC,gDuel_awRecentCardDrops,confirmed,ram_map.txt,"Last ten dropped card IDs."
global,0x801D07E0,gLibrary_dwStarchips,confirmed,ram_map.txt,"Current starchip count."
global,0x800917F0,gDuel_aOpponentData,high,"gms.c oppData; AI callers","Per-opponent AI metadata table."
global,0x800916E0,gAiScript_apfnCommand,high,"gms.c aiFunctionTable; local AI dispatcher","AI bytecode command dispatch table."
global,0x800F5BE8,gAiScript_State,high,"gms.c aiStruct/aiWord fields; local AI sources","Root AI bytecode interpreter state."
function,0x80012B50,Main_Init,high,"gms.c gameInit; local startup call graph","Initializes game systems after the executable entrypoint."
function,0x80012CD4,Main_VBlankCB,high,"gms.c vertBlankCallback; local callback registration","Main vertical-blank callback."
function,0x800136E4,File_SetPositionTable,high,"gms.c setFilePosTable; local disc-file callers","Initializes the file-position table."
function,0x800138F4,File_GetPosition,high,"gms.c filePosition; local body","Opens a disc path and writes its resolved position."
function,0x80019A08,Duel_CheckEquip,high,"gms.c checkEquip; local callers","Checks whether an equip card applies to a monster."
function,0x80019A60,Duel_CheckFusion,high,"gms.c checkFusion; fusion-table callers","Checks two cards against the fusion table."
function,0x8001EE44,Duel_CalcGuardianStarBonus,high,"gms.c monGsBonus; local battle callers","Applies the monster's guardian-star battle bonus."
function,0x8001EF1C,Duel_CalcBattleAttack,high,"gms.c monBattleEffAtk; local battle callers","Calculates effective monster attack during battle."
function,0x8001EF78,Duel_CalcBattleDefense,high,"gms.c monBattleEffDef; local battle callers","Calculates effective monster defense during battle."
function,0x80021558,Duel_CalcRankScoreChange,high,"gms.c rankScoreChange; ram_map rank table","Looks up the score change for one duel statistic."
function,0x80021598,Duel_CalcRankScore,high,"gms.c calcRankScore; local result flow","Calculates the final duel-rank score."
function,0x80021810,Duel_SelectCardDrop,high,"gms.c cardDrop; ram_map drop pools","Selects a card from the active drop table."
function,0x800243F4,Duel_ShuffleDeck,high,"gms.c shuffleDeck; local deck buffers","Shuffles one deck and writes its permutation."
function,0x800245A0,Duel_ShuffleBothDecks,high,"gms.c shuffleBothDecks; local callers","Shuffles the player and opponent decks."
function,0x80024704,Util_CompareS16,high,"gms.c compHalfwords; local body","Signed 16-bit comparator used by sorting code."
function,0x8002497C,Duel_GetTerrainBoost,high,"gms.c getTerrainBoost; local terrain table","Returns the active terrain's card-stat boost."
function,0x8002BF3C,Library_MarkOwnedCards,high,"gms.c setLibraryUsed; player deck and chest scans","Marks cards present in the deck or chest in the library bitset."
function,0x8002C7E8,Duel_CheckRitual,high,"gms.c checkRitual; ritual-data callers","Checks whether the current cards satisfy a ritual."
function,0x8002CB80,Duel_CalcGuardianStarMatchup,high,"gms.c gsBonus; local body","Returns the guardian-star matchup modifier."
function,0x8002CBF4,Duel_GetBaseCardStat,high,"gms.c baseCardStat; local stats table","Returns a terrain-adjusted base attack or defense value."
function,0x8002CCE4,Library_UpdateCardUsedFlag,high,"gms.c toggleLibraryUsed; local bitset body","Sets or clears one card's library-used bit."
function,0x8002CE08,Main_RunDebugMenu,high,"gms.c debugMenuLoop; main dispatcher","Runs the debug-menu state."
function,0x8002CE64,Main_RunCampaign,high,"gms.c campaignLoop; main dispatcher","Runs the campaign state."
function,0x8002CEE8,Main_RunDuel,high,"gms.c duelLoop; main dispatcher","Runs the duel state machine."
function,0x8002D0E0,Main_RunLibraryMenu,high,"gms.c libraryMenuLoop; main dispatcher","Runs the card-library menu."
function,0x8002D180,Main_RunAnimatedBattle,high,"gms.c animatedBattleLoop; main dispatcher","Runs the animated-battle state."
function,0x8002D2D8,Main_RunCampaignMap,high,"gms.c campaignOverworldLoop; main dispatcher","Runs the campaign map/overworld state."
function,0x8002D370,Main_RunBuildDeckMenu,high,"gms.c buildDeckMenuLoop; main dispatcher","Runs the deck-building menu."
function,0x8002D3F8,Main_RunFreeDuelMenu,high,"gms.c freeDuelMenuLoop; main dispatcher","Runs the Free Duel menu."
function,0x8002D588,Main_RunMenu,high,"gms.c mainMenuLoop; main dispatcher","Runs the main menu."
function,0x8002D62C,Main_RunNameEntry,high,"gms.c nameEntryLoop; main dispatcher","Runs the player-name entry state."
function,0x8002D684,Main_RunPasswordMenu,high,"gms.c passwordMenuLoop; main dispatcher","Runs the password-entry menu."
function,0x8002D6C8,Main_RunOptionsMenu,high,"gms.c optionsMenuLoop; main dispatcher","Runs the options menu."
function,0x8002D730,Main_RunGameOver,high,"gms.c gameOverLoop; main dispatcher","Runs the game-over state."
function,0x8002D7CC,Main_RunTrade,high,"gms.c tradeLoop; main dispatcher","Runs the card-trading state."
function,0x8002DA1C,Main_RunCredits,high,"gms.c creditsLoop; main dispatcher","Runs the credits state."
function,0x8002DD74,Main_Loop,high,"gms.c mainLoop; local top-level dispatch","Top-level game state loop."
function,0x80032B60,BuildDeck_CompareCard,high,"gms.c compDeckCard; local sort comparator","Compares deck-builder card records."
function,0x800356A0,Util_CopyWords,high,"gms.c copyWords; local body and callers","Copies a caller-supplied number of words."
function,0x800357E8,Text_EncodeDecimalDigits,high,"gms.c fillDigits; local decimal table","Encodes decimal digits and leading blank markers."
function,0x800358FC,Rand_GetInterval,high,"gms.c randInterval; local body","Returns a PRNG value modulo the requested interval."
function,0x80056504,Model_LoadMonsterMerge,high,"gms.c maybe_loadMonsterModel; MODEL.MRG/SU.MRG paths","Requests a monster model record from a Merge file."
function,0x8005C4F0,File_Exists,high,"gms.c fileExists; local file callers","Checks whether a game file exists."
